Date,Time,Type of Transaction,Description,Asset Sent(SYMBOL),Quantity of Asset Sent,Asset Received(SYMBOL),Quantity of Asset Received,Fee Paid In(SYMBOL),Quantity of Fee Paid,Tds Paid In(SYMBOL),Quantity of Tds Paid,Transaction Hash
2022-04-01,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-01,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-01,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-01,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-01,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-01,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-01,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-01,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-02,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-02,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-02,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-02,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-02,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-02,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-02,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-02,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-03,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-03,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-03,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-03,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-03,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-03,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-03,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-03,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-04,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-04,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-04,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-04,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-04,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-04,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-04,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-04,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-05,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-05,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-05,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-05,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-05,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
