Date(UTC),Account,Operation,Coin,Change
04/01/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/01/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/01/2022 17:34,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/01/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/01/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/01/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/01/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/01/2022 17:37,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/02/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/02/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/02/2022 17:34,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/02/2022 17:34,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/02/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/02/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/02/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/02/2022 17:37,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/03/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/03/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/03/2022 17:34,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/03/2022 17:34,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/03/2022 17:34,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/03/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/03/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/03/2022 17:37,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/04/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/04/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/04/2022 17:34,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/04/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/04/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/04/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/04/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/04/2022 17:37,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/05/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/05/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/05/2022 17:34,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/05/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/05/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/05/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/05/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/05/2022 17:37,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/06/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/06/2022 17:35,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/06/2022 17:35,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/06/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/06/2022 17:36,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/06/2022 17:36,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/06/2022 17:36,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/06/2022 17:38,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/07/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/07/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/07/2022 17:35,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/07/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/07/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/07/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/07/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/07/2022 17:38,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/08/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/08/2022 17:35,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/08/2022 17:35,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/08/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/08/2022 17:36,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/08/2022 17:36,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/08/2022 17:36,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/08/2022 17:38,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
